Entity,Code,Year,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change,Annual CO₂ emissions,Continent
Nicaragua,NIC,1996,90533580.0,87686340.0,2847245.0,North America
Niger,NER,1996,27115210.0,26476430.0,638780.0,Africa
Nigeria,NGA,1996,287218400.0,189328740.0,97889660.0,Africa
Niue,NIU,1996,7328.0,0.0,7328.0,Oceania
North Korea,PRK,1996,75397930.0,9106395.0,66291536.0,Asia
North Macedonia,MKD,1996,7115233.0,-2301321.8,9416555.0,Europe
Norway,NOR,1996,48389970.0,6865970.0,41524000.0,Europe
Oman,OMN,1996,18109712.0,1538.88,18108174.0,Asia
Pakistan,PAK,1996,122086280.0,28547322.0,93538960.0,Asia
Palau,PLW,1996,197856.0,0.0,197856.0,Oceania
Palestine,PSE,1996,929483.44,-107428.48,1036911.94,Asia
Panama,PAN,1996,15026463.0,10579690.0,4446773.0,North America
Papua New Guinea,PNG,1996,41201544.0,39011490.0,2190058.0,Oceania
Paraguay,PRY,1996,97268960.0,93550160.0,3718801.0,South America
Peru,PER,1996,109215630.0,84498540.0,24717086.0,South America
Philippines,PHL,1996,141699340.0,80434296.0,61265050.0,Asia
Poland,POL,1996,355996260.0,-21289158.0,377285400.0,Europe
Portugal,PRT,1996,40047760.0,-11713735.0,51761496.0,Europe
Qatar,QAT,1996,34447012.0,23303.04,34423708.0,Asia
Romania,ROU,1996,129114456.0,-32792.8,129147250.0,Europe
Russia,RUS,1996,2027621000.0,440798850.0,1586822100.0,Asia
Rwanda,RWA,1996,3120109.2,2656070.2,464039.0,Africa
Saint Helena,SHN,1996,,,10992.0,Africa
Saint Kitts and Nevis,KNA,1996,3151.039,-128752.96,131904.0,North America
Saint Lucia,LCA,1996,187816.64,-105303.36,293120.0,North America
Saint Pierre and Miquelon,SPM,1996,,,69616.0,North America
Saint Vincent and the Grenadines,VCT,1996,121168.484,-10735.52,131904.0,North America
Samoa,WSM,1996,-82330.08,-206906.08,124576.0,Oceania
Sao Tome and Principe,STP,1996,301620.5,253988.48,47632.0,Africa
Saudi Arabia,SAU,1996,265065220.0,1739374.1,263325840.0,Asia
Senegal,SEN,1996,488997.75,-3175149.2,3664147.0,Africa
Serbia,SRB,1996,36477320.0,-9347341.0,45824660.0,Europe
Seychelles,SYC,1996,234496.0,0.0,234496.0,Africa
Sierra Leone,SLE,1996,5374978.0,5144146.0,230832.0,Africa
Singapore,SGP,1996,48243260.0,230319.03,48012940.0,Asia
Sint Maarten (Dutch part),SXM,1996,,,481069.0,North America
