Region,AverageLifeExpectancy
Africa,59.846605415860736
Americas,74.21129679144386
Eastern Mediterranean,70.80481404958678
Europe,76.17441818181818
South-East Asia,70.18252066115703
Western Pacific,71.60324675324675
