Entity,Annual CO₂ emissions from land-use change,Annual CO₂ emissions from fossil
United States,80213570.0,5612983000.0
China,1143726100.0,3508818200.0
Brazil,1753184100.0,289311000.0
Russia,440798850.0,1586822100.0
Japan,-5057492.5,1251545700.0
India,162782580.0,823620700.0
Indonesia,730092860.0,253065010.0
Germany,-19220574.0,959653300.0
Canada,230453520.0,508196640.0
United Kingdom,13399761.0,586760700.0
